rank_low_error,name,layer,family,elements,sse,bss,mse,rel_sse,seconds
17,blk.47.attn_output.weight,47,attn_output,31457280,6.573143482208252,7666.490234375,2.0895460390117174e-07,0.0008573862721086631,0.3094785213470459
18,blk.51.attn_output.weight,51,attn_output,31457280,7.5360870361328125,8787.724609375,2.3956575508539874e-07,0.0008575697772883206,0.3013584613800049
19,blk.53.attn_qkv.weight,53,attn_qkv,52428800,11.994434356689453,13983.8828125,2.2877567971590905e-07,0.0008577327568826445,0.5013213157653809
20,blk.22.attn_qkv.weight,22,attn_qkv,52428800,10.381704330444336,12101.078125,1.9801529560936614e-07,0.0008579156520770199,0.48638319969177246
21,blk.21.attn_qkv.weight,21,attn_qkv,52428800,10.50236988067627,12240.3671875,2.0031680833199062e-07,0.0008580110155029832,0.4909636974334717
22,blk.55.attn_output.weight,55,attn_output,31457280,7.896664142608643,9200.259765625,2.5102819260306813e-07,0.000858308824291354,0.31037354469299316
23,blk.7.attn_output.weight,7,attn_output,31457280,5.972622394561768,6953.798828125,1.8986455264287845e-07,0.0008589006587888604,0.3151671886444092
24,blk.20.attn_qkv.weight,20,attn_qkv,52428800,11.01887321472168,12823.119140625,2.1016832761233672e-07,0.0008592974216244097,0.4689013957977295
25,blk.61.attn_qkv.weight,61,attn_qkv,52428800,11.42263412475586,13288.3076171875,2.1786945580970496e-07,0.0008596003685210807,0.4807124137878418
26,blk.13.attn_qkv.weight,13,attn_qkv,52428800,10.72192096710205,12444.6806640625,2.0450441297725775e-07,0.0008615665806567942,0.47659993171691895
27,blk.9.attn_qkv.weight,9,attn_qkv,52428800,10.287274360656738,11934.4599609375,1.9621418687165715e-07,0.0008619807175463205,0.4677290916442871
28,blk.54.attn_qkv.weight,54,attn_qkv,52428800,11.529733657836914,13369.466796875,2.1991221728967503e-07,0.0008623929310727554,0.4732391834259033
29,blk.11.attn_output.weight,11,attn_output,31457280,5.9272871017456055,6865.0615234375,1.8842338249669411e-07,0.0008633989777818731,0.3098948001861572
30,blk.8.attn_qkv.weight,8,attn_qkv,52428800,10.330778121948242,11962.1689453125,1.9704395526787266e-07,0.0008636208173599207,0.4835844039916992
31,blk.52.attn_qkv.weight,52,attn_qkv,52428800,12.192092895507812,14113.84375,2.325457171536982e-07,0.0008638392993055356,0.4708430767059326
32,blk.16.attn_qkv.weight,16,attn_qkv,52428800,10.662439346313477,12334.775390625,2.0336989109637216e-07,0.0008644210379718324,0.47397732734680176
33,blk.38.attn_qkv.weight,38,attn_qkv,52428800,10.675363540649414,12349.25,2.036164005403407e-07,0.0008644544033564317,0.4718301296234131
34,blk.10.attn_qkv.weight,10,attn_qkv,52428800,10.412928581237793,12039.15234375,1.986108509299811e-07,0.0008649220712489411,0.487746000289917
35,blk.5.attn_qkv.weight,5,attn_qkv,52428800,10.260869026184082,11857.22265625,1.9571054508560336e-07,0.0008653686722139377,0.4669225215911865
36,blk.43.attn_output.weight,43,attn_output,31457280,6.108628273010254,7056.73046875,1.941880630814315e-07,0.0008656456839412645,0.3211843967437744
37,blk.18.attn_qkv.weight,18,attn_qkv,52428800,10.921928405761719,12606.8720703125,2.0831925212405622e-07,0.0008663472068921364,0.48505663871765137
38,blk.14.attn_qkv.weight,14,attn_qkv,52428800,10.591170310974121,12221.71875,2.020105421252083e-07,0.000866585995605088,0.48357343673706055
39,blk.12.attn_qkv.weight,12,attn_qkv,52428800,10.613232612609863,12244.939453125,2.024313471338246e-07,0.0008667443929174584,0.47834134101867676
40,blk.17.attn_qkv.weight,17,attn_qkv,52428800,11.160510063171387,12846.177734375,2.128698361048009e-07,0.0008687806049348869,0.4832470417022705
41,blk.6.attn_qkv.weight,6,attn_qkv,52428800,10.715255737304688,12317.6123046875,2.0437728380784393e-07,0.0008699133786851668,0.4856104850769043
42,blk.36.attn_qkv.weight,36,attn_qkv,52428800,11.27288818359375,12957.7822265625,2.1501327864825726e-07,0.0008699704923644387,0.48903822898864746
43,blk.2.attn_qkv.weight,2,attn_qkv,52428800,10.40703010559082,11941.4404296875,1.9849834643537178e-07,0.0008715054240624107,0.5031170845031738
44,blk.41.attn_qkv.weight,41,attn_qkv,52428800,10.383296966552734,11913.5087890625,1.9804567273240535e-07,0.0008715565792074107,0.48199987411499023
45,blk.45.attn_qkv.weight,45,attn_qkv,52428800,10.691568374633789,12246.8896484375,2.039254832197912e-07,0.000873002752662008,0.5009057521820068
46,blk.29.attn_qkv.weight,29,attn_qkv,52428800,11.184165954589844,12796.62890625,2.1332103642635047e-07,0.0008739931458923051,0.47885847091674805
47,blk.24.attn_qkv.weight,24,attn_qkv,52428800,10.530838966369629,12042.53515625,2.0085981304873713e-07,0.0008744702697342087,0.4971146583557129
48,blk.49.attn_qkv.weight,49,attn_qkv,52428800,11.614217758178711,13255.765625,2.2152362362248822e-07,0.0008761634813665251,0.4781208038330078
49,blk.25.attn_qkv.weight,25,attn_qkv,52428800,10.89052963256836,12418.888671875,2.0772036805283277e-07,0.0008769327047139163,0.4876062870025635
50,blk.37.attn_qkv.weight,37,attn_qkv,52428800,10.86961841583252,12389.5166015625,2.073215182463173e-07,0.0008773238509129324,0.48484158515930176
51,blk.40.attn_qkv.weight,40,attn_qkv,52428800,10.45953369140625,11913.3046875,1.9949977286159993e-07,0.0008779708037166955,0.4859762191772461
52,blk.48.attn_qkv.weight,48,attn_qkv,52428800,10.910881042480469,12421.35546875,2.0810854039154948e-07,0.0008783969728529526,0.46778225898742676
53,blk.1.attn_qkv.weight,1,attn_qkv,52428800,10.122617721557617,11520.2119140625,1.9307361071696504e-07,0.0008786832913378211,0.47701263427734375
54,blk.46.attn_qkv.weight,46,attn_qkv,52428800,10.828165054321289,12313.3388671875,2.06530858122278e-07,0.0008793849638278134,0.4930720329284668
55,blk.50.attn_qkv.weight,50,attn_qkv,52428800,11.33005142211914,12881.81640625,2.1610358089674264e-07,0.0008795383403090597,0.47948408126831055
56,blk.42.attn_qkv.weight,42,attn_qkv,52428800,10.45930290222168,11877.884765625,1.9949537090724335e-07,0.0008805694876322808,0.4781372547149658
57,blk.44.attn_qkv.weight,44,attn_qkv,52428800,10.824979782104492,12281.33203125,2.0647010387619957e-07,0.0008814174028159322,0.4679069519042969
58,blk.34.attn_qkv.weight,34,attn_qkv,52428800,11.244121551513672,12736.59765625,2.144645986845717e-07,0.0008828198750547834,0.4830150604248047
59,blk.28.attn_qkv.weight,28,attn_qkv,52428800,11.235357284545898,12725.0,2.142974335583858e-07,0.0008829357394535087,0.47289228439331055
60,blk.32.attn_qkv.weight,32,attn_qkv,52428800,11.182323455810547,12660.705078125,2.1328589355107397e-07,0.0008832307037252782,0.48973560333251953
61,blk.26.attn_qkv.weight,26,attn_qkv,52428800,11.010260581970215,12464.00390625,2.100040546793025e-07,0.0008833646607290604,0.49822998046875
62,blk.33.attn_qkv.weight,33,attn_qkv,52428800,11.508079528808594,13023.3447265625,2.1949919755570592e-07,0.000883650073804515,0.48136138916015625
63,blk.30.attn_qkv.weight,30,attn_qkv,52428800,11.23283863067627,12708.845703125,2.1424939404823818e-07,0.0008838598636785878,0.48347020149230957
64,blk.3.attn_output.weight,3,attn_output,31457280,7.024503231048584,7340.89404296875,2.2330294389879175e-07,0.0009569002344853062,0.3010120391845703
65,blk.63.attn_output.weight,63,attn_output,31457280,9.374345779418945,9176.0859375,2.980024267647726e-07,0.0010216061448497028,0.3091890811920166
